StimmbezirkNr,Kommunalwahlkreis,Landtagswahlkreis,Bundestagswahlkreis,StadtbezirkNr,StadtbezirkName,StadtteilNr,StadtteilName,X,Y,Einwohner,AnteilAusländer,Wahlberechtigte,AnteilFrauen,18bis24Jahre,25bis34Jahre,35bis44Jahre,45bis59Jahre,Ab60Jahre,AnteilWahlberechtigte,Anteil18bis24Jahre,Anteil25bis34Jahre,Anteil35bis44Jahre,Anteil45bis59Jahre,AnteilAb60Jahre,Wahlberechtigte2009,Wahlbeteiligung2009,GueltigeZweitstimmen2009,Zweitstimmen_SPD_2009,Zweitstimmen_CDU_2009,Zweitstimmen_FDP_2009,Zweitstimmen_GRUENE_2009,Zweitstimmen_DIE_LINKE_2009,Zweitstimmen_Sonstige_2009,ZweitstimmenAnteil_SPD_2009,ZweitstimmenAnteil_CDU_2009,ZweitstimmenAnteil_GRUENE_2009,ZweitstimmenAnteil_FDP_2009,ZweitstimmenAnteil_DIE_LINKE_2009,ZweitstimmenAnteil_Sonstige_2009,GueltigeErststimmen2009,Erststimmen_SPD_2009,Erststimmen_CDU_2009,Erststimmen_FDP_2009,Erststimmen_GRUENE_2009,Erststimmen_DIE_LINKE_2009,Erststimmen_Sonstige_2009,ErststimmenAnteil_SPD_2009,ErststimmenAnteil_CDU_2009,ErststimmenAnteil_GRUENE_2009,ErststimmenAnteil_FDP_2009,ErststimmenAnteil_DIE_LINKE_2009,ErststimmenAnteil_Sonstige_2009
10115,3,13,94,1,Innenstadt,101,Altstadt/Süd,6.9413449274,50.935040602,984,19.7,785,46,75,315,132,126,137,79.78,9.55,40.13,16.82,16.05,17.45,765,72.7,554,137,128,95,130,45,19,24.73,23.10,23.47,17.15,8.12,3.43,550,185,151,56,115,37,6,33.64,27.45,20.91,10.18,6.73,1.09
10116,3,13,94,1,Innenstadt,101,Altstadt/Süd,6.9452076934,50.9316010149,1184,19.8,878,52.2,86,278,140,169,205,74.16,9.79,31.66,15.95,19.25,23.35,892,75.9,675,165,160,111,164,47,28,24.44,23.70,24.30,16.44,6.96,4.15,673,237,177,80,138,36,5,35.22,26.30,20.51,11.89,5.35,0.74
10117,3,13,94,1,Innenstadt,101,Altstadt/Süd,6.9441936943,50.9347992844,1035,13.6,855,49.7,82,261,131,171,210,82.61,9.59,30.53,15.32,20.00,24.56,820,70.4,574,116,145,103,126,59,25,20.21,25.26,21.95,17.94,10.28,4.36,574,166,171,78,110,47,2,28.92,29.79,19.16,13.59,8.19,0.35
10118,1,13,94,1,Innenstadt,101,Altstadt/Süd,6.9496595062,50.9316528793,1043,11.5,854,54.1,105,232,135,191,191,81.88,12.30,27.17,15.81,22.37,22.37,854,75.5,643,148,175,97,145,48,30,23.02,27.22,22.55,15.09,7.47,4.67,642,218,200,50,136,36,2,33.96,31.15,21.18,7.79,5.61,0.31
10119,1,13,94,1,Innenstadt,101,Altstadt/Süd,6.9494488218,50.9343203688,1113,18.1,848,52.5,71,265,153,174,185,76.19,8.37,31.25,18.04,20.52,21.82,817,74.5,607,146,157,110,119,53,22,24.05,25.86,19.60,18.12,8.73,3.62,605,195,187,65,117,37,4,32.23,30.91,19.34,10.74,6.12,0.66
10120,6,13,94,1,Innenstadt,101,Altstadt/Süd,6.9569629262,50.9337016051,2092,18.5,1606,45.7,202,405,215,317,467,76.77,12.58,25.22,13.39,19.74,29.08,1571,70.4,1097,220,283,214,211,98,71,20.05,25.80,19.23,19.51,8.93,6.47,1092,309,357,127,201,86,12,28.30,32.69,18.41,11.63,7.88,1.10
10201,2,13,94,1,Innenstadt,102,Neustadt/Süd,6.9639860271,50.921748853,1027,11.6,769,49.3,37,186,163,220,163,74.88,4.81,24.19,21.20,28.61,21.20,769,81.3,623,135,118,83,204,49,34,21.67,18.94,32.74,13.32,7.87,5.46,621,250,122,49,165,29,6,40.26,19.65,26.57,7.89,4.67,0.97
10202,2,13,94,1,Innenstadt,102,Neustadt/Süd,6.9677436609,50.9198020832,1227,11.3,919,51.3,60,177,210,283,189,74.90,6.53,19.26,22.85,30.79,20.57,903,82.6,743,154,141,116,221,78,33,20.73,18.98,29.74,15.61,10.50,4.44,741,267,166,72,179,46,11,36.03,22.40,24.16,9.72,6.21,1.48
10203,2,13,94,1,Innenstadt,102,Neustadt/Süd,6.9631554274,50.9201462072,1041,10.7,773,54.6,44,184,191,198,156,74.26,5.69,23.80,24.71,25.61,20.18,713,80.4,571,131,85,76,192,66,21,22.94,14.89,33.63,13.31,11.56,3.68,567,216,109,34,151,43,14,38.10,19.22,26.63,6.00,7.58,2.47
10204,2,13,94,1,Innenstadt,102,Neustadt/Süd,6.9613963445,50.9199833877,836,15.3,629,50.6,44,148,145,175,117,75.24,7.00,23.53,23.05,27.82,18.60,612,80.1,487,99,74,60,186,49,19,20.33,15.20,38.19,12.32,10.06,3.90,487,187,89,34,145,28,4,38.40,18.28,29.77,6.98,5.75,0.82
10205,2,13,94,1,Innenstadt,102,Neustadt/Süd,6.9635986659,50.9163403835,942,13.4,660,55.6,65,157,149,180,109,70.06,9.85,23.79,22.58,27.27,16.52,646,76.2,491,108,85,56,171,53,18,22.00,17.31,34.83,11.41,10.79,3.67,490,175,90,34,149,35,7,35.71,18.37,30.41,6.94,7.14,1.43
10206,2,13,94,1,Innenstadt,102,Neustadt/Süd,6.9670678151,50.9172162147,775,6.2,643,58.6,48,92,96,151,256,82.97,7.47,14.31,14.93,23.48,39.81,629,77.9,485,126,102,47,157,39,14,25.98,21.03,32.37,9.69,8.04,2.89,484,195,113,29,116,26,5,40.29,23.35,23.97,5.99,5.37,1.03
10207,2,13,94,1,Innenstadt,102,Neustadt/Süd,6.9625368314,50.9175440777,953,12.3,745,55.4,60,161,182,181,161,78.17,8.05,21.61,24.43,24.30,21.61,712,76.1,537,135,98,64,147,70,23,25.14,18.25,27.37,11.92,13.04,4.28,536,219,118,31,94,64,10,40.86,22.01,17.54,5.78,11.94,1.87
10208,2,13,94,1,Innenstadt,102,Neustadt/Süd,6.9628003765,50.9187326374,804,8.2,622,50.8,43,141,137,197,104,77.36,6.91,22.67,22.03,31.67,16.72,609,86.0,521,128,72,71,176,64,10,24.57,13.82,33.78,13.63,12.28,1.92,521,198,101,37,136,42,7,38.00,19.39,26.10,7.10,8.06,1.34
10209,2,13,94,1,Innenstadt,102,Neustadt/Süd,6.9591590974,50.9195859651,1236,22.8,804,49.5,62,256,158,209,119,65.05,7.71,31.84,19.65,26.00,14.80,776,75.3,581,127,85,61,203,71,34,21.86,14.63,34.94,10.50,12.22,5.85,581,227,107,37,156,47,7,39.07,18.42,26.85,6.37,8.09,1.20
10210,2,13,94,1,Innenstadt,102,Neustadt/Süd,6.9585544605,50.9172455696,1062,17.2,792,51.6,103,254,146,152,137,74.58,13.01,32.07,18.43,19.19,17.30,782,70.6,547,157,88,57,156,65,24,28.70,16.09,28.52,10.42,11.88,4.39,548,220,95,39,138,47,9,40.15,17.34,25.18,7.12,8.58,1.64
10211,2,13,94,1,Innenstadt,102,Neustadt/Süd,6.9528552848,50.9179770484,970,14.4,748,52,63,186,164,184,151,77.11,8.42,24.87,21.93,24.60,20.19,750,75.3,565,102,108,87,182,60,26,18.05,19.12,32.21,15.40,10.62,4.60,565,197,128,50,141,48,1,34.87,22.65,24.96,8.85,8.50,0.18
10212,2,13,94,1,Innenstadt,102,Neustadt/Süd,6.9549642249,50.91923804,1108,11,821,54.6,55,216,194,238,118,74.10,6.70,26.31,23.63,28.99,14.37,786,80.5,628,136,100,88,201,67,36,21.66,15.92,32.01,14.01,10.67,5.73,630,244,125,52,156,47,6,38.73,19.84,24.76,8.25,7.46,0.95
10213,2,13,94,1,Innenstadt,102,Neustadt/Süd,6.9560324936,50.9202678396,986,19.8,687,52.5,45,171,151,168,152,69.68,6.55,24.89,21.98,24.45,22.13,717,76.7,546,122,87,65,178,71,23,22.34,15.93,32.60,11.90,13.00,4.21,545,195,97,44,155,53,1,35.78,17.80,28.44,8.07,9.72,0.18
10214,2,13,94,1,Innenstadt,102,Neustadt/Süd,6.957437537,50.9214147696,991,17.2,740,53.2,76,237,159,133,135,74.67,10.27,32.03,21.49,17.97,18.24,733,72.0,525,121,110,58,158,51,27,23.05,20.95,30.10,11.05,9.71,5.14,528,184,124,40,138,38,4,34.85,23.48,26.14,7.58,7.20,0.76
10215,2,13,94,1,Innenstadt,102,Neustadt/Süd,6.9537558105,50.921922349,895,15.1,671,52.6,68,220,118,159,106,74.97,10.13,32.79,17.59,23.70,15.80,633,79.9,503,114,83,71,159,61,15,22.66,16.50,31.61,14.12,12.13,2.98,503,177,100,38,137,48,3,35.19,19.88,27.24,7.55,9.54,0.60
10216,2,13,94,1,Innenstadt,102,Neustadt/Süd,6.9528662908,50.9208027479,987,9.7,774,53.1,36,167,178,192,201,78.42,4.65,21.58,23.00,24.81,25.97,744,79.6,590,141,137,77,177,44,14,23.90,23.22,30.00,13.05,7.46,2.37,589,225,153,42,137,28,4,38.20,25.98,23.26,7.13,4.75,0.68
10217,2,13,94,1,Innenstadt,102,Neustadt/Süd,6.9473489457,50.9220732244,1350,18.2,955,52.6,66,231,190,222,246,70.74,6.91,24.19,19.90,23.25,25.76,957,82.1,783,180,181,123,211,60,28,22.99,23.12,26.95,15.71,7.66,3.58,782,275,211,82,158,49,7,35.17,26.98,20.20,10.49,6.27,0.90
10218,2,13,94,1,Innenstadt,102,Neustadt/Süd,6.9519988677,50.922815287,999,13.4,752,50.8,80,171,153,177,171,75.28,10.64,22.74,20.35,23.54,22.74,790,76.3,599,132,141,93,174,37,22,22.04,23.54,29.05,15.53,6.18,3.67,600,218,172,54,127,24,5,36.33,28.67,21.17,9.00,4.00,0.83
10219,2,13,94,1,Innenstadt,102,Neustadt/Süd,6.9436574498,50.9267721053,1178,14.9,900,48.3,108,314,181,149,148,76.40,12.00,34.89,20.11,16.56,16.44,877,76.4,662,146,140,81,198,59,38,22.05,21.15,29.91,12.24,8.91,5.74,660,243,152,53,147,60,5,36.82,23.03,22.27,8.03,9.09,0.76
10220,2,13,94,1,Innenstadt,102,Neustadt/Süd,6.9454161515,50.9256707219,1132,16.3,847,54.1,96,334,131,154,132,74.82,11.33,39.43,15.47,18.18,15.58,833,77.8,644,146,125,94,207,49,23,22.67,19.41,32.14,14.60,7.61,3.57,643,227,151,63,158,41,3,35.30,23.48,24.57,9.80,6.38,0.47
10221,2,13,94,1,Innenstadt,102,Neustadt/Süd,6.9383728594,50.9247230931,1164,16.2,844,50.9,140,316,110,168,110,72.51,16.59,37.44,13.03,19.91,13.03,816,73.3,595,150,98,64,192,61,30,25.21,16.47,32.27,10.76,10.25,5.04,592,224,115,41,156,49,7,37.84,19.43,26.35,6.93,8.28,1.18
10222,2,13,94,1,Innenstadt,102,Neustadt/Süd,6.9406693851,50.9248816902,1564,19.3,1139,50.2,202,411,180,185,161,72.83,17.73,36.08,15.80,16.24,14.14,961,67.4,644,133,115,98,180,78,40,20.65,17.86,27.95,15.22,12.11,6.21,643,230,147,49,141,72,4,35.77,22.86,21.93,7.62,11.20,0.62
10223,3,13,94,1,Innenstadt,102,Neustadt/Süd,6.9413772597,50.9278426432,1161,15.2,928,51.1,162,345,150,131,140,79.93,17.46,37.18,16.16,14.12,15.09,861,75.8,651,147,108,92,200,70,34,22.58,16.59,30.72,14.13,10.75,5.22,649,230,143,54,168,50,4,35.44,22.03,25.89,8.32,7.70,0.62
10224,3,13,94,1,Innenstadt,102,Neustadt/Süd,6.9386211726,50.9282353956,1100,22.6,826,49.4,130,406,119,97,74,75.09,15.74,49.15,14.41,11.74,8.96,798,70.7,563,112,96,89,178,64,24,19.89,17.05,31.62,15.81,11.37,4.26,562,204,125,56,138,37,2,36.30,22.24,24.56,9.96,6.58,0.36
10225,3,13,94,1,Innenstadt,102,Neustadt/Süd,6.93468765,50.9287757222,1121,17.2,855,47,183,369,132,97,74,76.27,21.40,43.16,15.44,11.35,8.65,820,77.4,632,134,103,101,180,80,34,21.20,16.30,28.48,15.98,12.66,5.38,632,217,128,58,164,61,4,34.34,20.25,25.95,9.18,9.65,0.63
10226,3,13,94,1,Innenstadt,102,Neustadt/Süd,6.9346664019,50.9305037109,1105,12.5,869,48.9,98,305,201,176,89,78.64,11.28,35.10,23.13,20.25,10.24,863,82.3,707,151,108,99,246,64,39,21.36,15.28,34.79,14.00,9.05,5.52,709,252,149,54,201,48,5,35.54,21.02,28.35,7.62,6.77,0.71
10227,3,13,94,1,Innenstadt,102,Neustadt/Süd,6.9362299396,50.9308668979,1055,15,793,48.7,92,266,190,157,88,75.17,11.60,33.54,23.96,19.80,11.10,740,78.9,580,99,112,83,209,45,32,17.07,19.31,36.03,14.31,7.76,5.52,576,190,118,49,192,24,3,32.99,20.49,33.33,8.51,4.17,0.52
10228,3,13,94,1,Innenstadt,102,Neustadt/Süd,6.9381348178,50.9293974076,893,19.6,666,49.2,127,316,92,72,59,74.58,19.07,47.45,13.81,10.81,8.86,620,74.4,458,102,88,65,135,38,30,22.27,19.21,29.48,14.19,8.30,6.55,456,165,101,38,124,27,1,36.18,22.15,27.19,8.33,5.92,0.22
10229,3,13,94,1,Innenstadt,102,Neustadt/Süd,6.9373519978,50.9319503716,1171,16.9,882,48,104,335,171,147,125,75.32,11.79,37.98,19.39,16.67,14.17,836,78.1,650,139,142,96,194,49,30,21.38,21.85,29.85,14.77,7.54,4.62,648,209,163,63,176,34,3,32.25,25.15,27.16,9.72,5.25,0.46
10230,3,13,94,1,Innenstadt,102,Neustadt/Süd,6.9400767171,50.9311585966,1164,21.7,880,48.4,141,369,136,127,107,75.60,16.02,41.93,15.45,14.43,12.16,855,70.3,598,127,104,115,167,54,31,21.24,17.39,27.93,19.23,9.03,5.18,596,193,136,72,144,44,7,32.38,22.82,24.16,12.08,7.38,1.17
10231,3,13,94,1,Innenstadt,102,Neustadt/Süd,6.93783101,50.9335372546,1089,11.2,882,44.4,61,257,238,176,150,80.99,6.92,29.14,26.98,19.95,17.01,857,80.2,685,130,157,130,193,44,31,18.98,22.92,28.18,18.98,6.42,4.53,684,217,199,79,151,35,3,31.73,29.09,22.08,11.55,5.12,0.44
10232,3,13,94,1,Innenstadt,102,Neustadt/Süd,6.9345009814,50.9332317069,1132,16.6,851,52.6,84,348,195,137,87,75.18,9.87,40.89,22.91,16.10,10.22,844,76.7,643,104,143,111,201,52,32,16.17,22.24,31.26,17.26,8.09,4.98,642,193,177,58,172,39,3,30.06,27.57,26.79,9.03,6.07,0.47
10233,3,13,94,1,Innenstadt,102,Neustadt/Süd,6.9323276651,50.9340727697,1304,16.6,1010,46.8,186,404,182,152,86,77.45,18.42,40.00,18.02,15.05,8.51,929,75.1,692,137,146,82,232,69,26,19.80,21.10,33.53,11.85,9.97,3.76,693,233,162,52,197,48,1,33.62,23.38,28.43,7.50,6.93,0.14
10234,3,13,94,1,Innenstadt,102,Neustadt/Süd,6.9348322746,50.9349794117,1441,13.7,1097,48.1,80,359,264,229,165,76.13,7.29,32.73,24.07,20.88,15.04,1067,76.9,818,164,171,164,229,63,27,20.05,20.90,28.00,20.05,7.70,3.30,815,251,214,94,206,45,5,30.80,26.26,25.28,11.53,5.52,0.61
